category,subcategory,product,price,svgpath
訓練課程,JY教練,(65折)1對1高級教練60min JY   -- 2080,2080,4715251011014
訓練課程,JY教練,(7折)1對1高級教練60min JY   -- 2240,2240,4715251111011
訓練課程,JY教練,(75折)1對1高級教練60min JY   -- 2400,2400,4715251211018
訓練課程,JY教練,(8折)1對1高級教練60min JY   -- 2560,2560,4715251311015
訓練課程,JY教練,(65折)1對2高級教練60min JY   -- 1300,1300,4715251012011
訓練課程,JY教練,(7折)1對2高級教練60min JY   -- 1400,1400,4715251112018
訓練課程,JY教練,(75折)1對2高級教練60min JY   -- 1500,1500,4715251212015
訓練課程,JY教練,(65折)1對3高級教練60min JY   -- 1040,1040,4715251013018
訓練課程,JY教練,(7折)1對3高級教練60min JY   -- 1120,1120,4715251113015
訓練課程,JY教練,(75折)1對3高級教練60min JY   -- 1200,1200,4715251213012
訓練課程,JY教練,(7折)團體課程/人 60min JY   -- 840,840,4715251018013
訓練課程,JY教練,(7折)團體課程/人 60min JY   -- 840,840,4715251018112
訓練課程,JY教練,(7折)團體課程/人 60min JY   -- 840,840,4715251018211
訓練課程,JY教練,(7折)團體課程/人 60min JY   -- 840,840,4715251019010
訓練課程,JY教練,(7折)團體課程/人 60min JY   -- 840,840,4715251019119
訓練課程,JY教練,(7折)團體課程/人 60min JY   -- 840,840,4715251019218
訓練課程,MAX教練,(65折)1對1高級教練60min MAX   -- 2080,2080,4715251011113
訓練課程,MAX教練,(7折)1對1高級教練60min MAX   -- 2240,2240,4715251111110
訓練課程,MAX教練,(75折)1對1高級教練60min MAX   -- 2400,2400,4715251211117
訓練課程,MAX教練,(8折)1對1高級教練60min MAX   -- 2560,2560,4715251311114
訓練課程,MAX教練,(65折)1對2高級教練60min MAX   -- 1300,1300,4715251012110
訓練課程,MAX教練,(7折)1對2高級教練60min MAX   -- 1400,1400,4715251112117
訓練課程,MAX教練,(65折)1對3高級教練60min MAX   -- 1040,1040,4715251013117
訓練課程,MAX教練,(7折)1對3高級教練60min MAX   -- 1120,1120,4715251113114
訓練課程,MAX教練,(7折)團體課程/人 60min MAX   -- 840,840,4715251016118
訓練課程,MAX教練,體驗課 1對1 60min MAX,1500,4715251021112
訓練課程,MAX教練,體驗課 1對2 60min MAX,1000,4715251022119
訓練課程,MAX教練,體驗課 1對3 60min MAX,800,4715251023116
訓練課程,MAX教練,團體體驗課 /人 60min MAX,700,4715251026117
訓練課程,GRACE 教練,(65折)1對1高級教練60min GRACE   -- 2080,2080,4715251011212
訓練課程,GRACE 教練,(7折)1對1高級教練60min GRACE   -- 2240,2240,4715251111219
訓練課程,GRACE 教練,(75折)1對1高級教練60min GRACE   -- 2400,2400,4715251211216
訓練課程,GRACE 教練,(8折)1對1高級教練60min GRACE   -- 2560,2560,4715251311213
訓練課程,GRACE 教練,(65折)1對2高級教練60min GRACE   -- 1300,1300,4715251012219
訓練課程,GRACE 教練,(7折)1對2高級教練60min GRACE   -- 1400,1400,4715251112216
訓練課程,GRACE 教練,(65折)1對3高級教練60min GRACE   -- 1040,1040,4715251013216
訓練課程,GRACE 教練,(7折)1對3高級教練60min GRACE   -- 1120,1120,4715251113213
訓練課程,GRACE 教練,(7折)團體課程/人 60min GRACE   -- 840,840,4715251016217
訓練課程,GRACE 教練,體驗課 1對1 60min GRACE,1500,4715251021211
訓練課程,GRACE 教練,體驗課 1對2 60min GRACE,1000,4715251022218
訓練課程,GRACE 教練,體驗課 1對3 60min GRACE,800,4715251023215
訓練課程,GRACE 教練,團體體驗課 /人 60min GRACE,700,4715251026216
訓練課程,其它,全區場租/小時,3000,4715251101012 
訓練課程,其它,單區場租A/小時,1000,4715251101029 
訓練課程,其它,單區場租B/小時,1200,4715251101036 
訓練課程,其它,單次入場,400,4715251102019 
訓練課程,其它,企業健康運動包班課程60min,3750,4715251017016 
懸吊系統,挪威紅繩懸吊系統訓練課程,挪威紅繩懸吊系統訓練課程 JY,3200,4715252010009 
懸吊系統,挪威紅繩懸吊系統訓練課程,挪威紅繩懸吊系統訓練課程 MAX,3200,4715252010108 
懸吊系統,挪威紅繩懸吊系統訓練課程,挪威紅繩懸吊系統訓練課程 GRACE,3200,4715252010207 
懸吊系統,神經肌肉活化運動課程,神經肌肉活化運動課程 JY,3200,4715252020008 
懸吊系統,神經肌肉活化運動課程,神經肌肉活化運動課程 MAX,3200,4715252020107 
懸吊系統,神經肌肉活化運動課程,神經肌肉活化運動課程 GRACE,3200,4715252020206 
恢復課程,運動恢復課程,1對1高級運動恢復課程60min JY,3200,4715253011012 
恢復課程,運動恢復課程,1對1高級運動恢復課程60min MAX,3200,4715253011111 
恢復課程,運動恢復課程,1對1高級運動恢復課程60min GRACE,3200,4715253011210 
檢測系統,身體組成分析,身體組成分析 JY,500,4715254010007 
檢測系統,身體組成分析,身體組成分析 MAX,500,4715254010106 
檢測系統,身體組成分析,身體組成分析 GRACE,500,4715254010205 
檢測系統,精選功能性動作評估,精選功能性動作評估 JY,3200,4715254020006 
檢測系統,精選功能性動作評估,精選功能性動作評估 MAX,3200,4715254020105 
檢測系統,精選功能性動作評估,精選功能性動作評估 GRACE,3200,4715254020204 
檢測系統,動作鏈表現檢測,動作鏈表現檢測 JY,3200,4715254030005 
檢測系統,動作鏈表現檢測,動作鏈表現檢測 MAX,3200,4715254030104 
檢測系統,動作鏈表現檢測,動作鏈表現檢測 GRACE,3200,4715254030203 
商品,環狀拉力帶,環狀拉力帶 0.5mm (亮桃紅),200,9555514002510 
商品,環狀拉力帶,環狀拉力帶 0.7mm (亮橘),210,9555514002527 
商品,環状拉力帶,環狀拉力帶 0.9mm (淺紫),220,9555514002534 
商品,環状拉力帶,環狀拉力帶 1.5mm (淺藍),260,9555514002541 
商品,環状拉力帶,環狀拉力帶 2.0mm (紫),280,9555514002558 
商品,環状拉力帶,環狀拉力帶 2.5mm (黑),300,9555514002565 
商品,超級拉力帶,"超級拉力帶 (亮桃紅, 極輕)",580,9555514003814 
商品,超級拉力帶,"超級拉力帶 (亮橘, 超輕)",800,9555514003821 
商品,超級拉力帶,"超級拉力帶 (淺紫, 輕)",1150,9555514003838 
商品,超級拉力帶,"超級拉力帶 (淺藍, 中)",1270,9555514003845 
商品,超級拉力帶,"超級拉力帶 (紫, 重)",1380,9555514003852 
商品,超級拉力帶,"超級拉力帶 (銀, 超重)",1730,9555514003869 
商品,超級拉力帶,"超級拉力帶 (黑, 加強超重)",1840,9555514003876 
商品,2.5m 拉力帶附門檔,"拉力帶附門檔(亮桃, 輕)",410,9555514003616 
商品,2.5m 拉力帶附門檔,"拉力帶附門檔(亮橘, 中)",450,9555514003623 
商品,2.5m 拉力帶附門檔,"拉力帶附門檔(紫, 重)",480,9555514003630 
商品,2.5m 拉力帶附門檔,"拉力帶附門檔(淺藍, 超重)",510,9555514003647 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(綠, 輕)",350,9555514005115 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(藍, 中)",400,9555514005122 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(紫, 重)",480,9555514005139 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶1""*2m(灰, 加重)",560,9555514005146 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(綠, 輕)",630,9555514005016 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(藍, 中)",730,9555514005023 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(紫, 重)",830,9555514005030 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*2m(灰, 加重)",930,9555514005047 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(綠, 輕)",1090,9555514005214 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(藍, 中)",1290,9555514005221 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(紫, 重)",1490,9555514005405 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶2""*3.5m(灰, 加重)",1690,9555514005412 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶3""*2m(藍, 中)",1150,9555514005429 
商品,福洛斯功能性加壓帶,"福洛斯功能性加壓帶3""*2m(灰, 加重)",1250,9555514005436 
商品,筋膜運動產品,softX按摩球50,730,6520177
商品,筋膜運動產品,softX筋膜滾筒65,800,6520178
商品,筋膜運動產品,softX筋膜滾筒90,950,6520179
商品,筋膜運動產品,softX按摩球95,1600,6520183
商品,筋膜運動產品,softX筋膜組合包,3150,6520192
